"","condition","means","ID","trial","artifactFlag","bindescr"
"314","Rej_Acc",2.8836,1006,80,0,"RA (Rej-Acc)"
"315","Acc_Rej",20.1684,1006,81,0,"AR (Acc-Rej)"
"316","Rej_Acc",15.6844,1006,82,0,"RA (Rej-Acc)"
"317","Acc_Acc",-8.89842,1006,83,0,"AA (Acc-Acc)"
"318","Rej_Rej",28.3273,1006,84,0,"RR (Rej-Rej)"
"319","Acc_Rej",1.60888,1006,85,0,"AR (Acc-Rej)"
"320","Rej_Acc",5.81093,1006,86,0,"RA (Rej-Acc)"
"321","Rej_Rej",9.75804,1006,87,0,"RR (Rej-Rej)"
"322","Rej_Acc",-0.591572,1006,88,0,"RA (Rej-Acc)"
"323","Acc_Rej",0.369702,1006,89,0,"AR (Acc-Rej)"
"324","Rej_Acc",-2.2303,1006,90,0,"RA (Rej-Acc)"
"325","Acc_Acc",30.4755,1006,91,0,"AA (Acc-Acc)"
"326","Rej_Acc",15.1842,1006,92,0,"RA (Rej-Acc)"
"327","Rej_Rej",22.1496,1006,93,0,"RR (Rej-Rej)"
"328","Acc_Acc",0.120725,1006,94,0,"AA (Acc-Acc)"
"329","Acc_Acc",10.6279,1006,95,0,"AA (Acc-Acc)"
"330","Rej_Rej",25.2572,1006,96,0,"RR (Rej-Rej)"
"331","Rej_Rej",20.9079,1006,97,0,"RR (Rej-Rej)"
"332","Acc_Acc",9.58579,1006,98,0,"AA (Acc-Acc)"
"333","Rej_Acc",21.7027,1006,99,0,"RA (Rej-Acc)"
"334","Rej_Rej",-8.50996,1006,100,0,"RR (Rej-Rej)"
"335","Acc_Acc",-13.7782,1010,1,0,"AA (Acc-Acc)"
"336","Rej_Rej",-19.3336,1010,2,0,"RR (Rej-Rej)"
"337","Rej_Rej",-18.2549,1010,3,0,"RR (Rej-Rej)"
"338","Acc_Acc",21.7226,1010,4,0,"AA (Acc-Acc)"
"339","Acc_Rej",-5.6145,1010,5,0,"AR (Acc-Rej)"
"340","Rej_Rej",0.065619,1010,6,0,"RR (Rej-Rej)"
"341","Acc_Acc",15.5941,1010,7,0,"AA (Acc-Acc)"
"342","Acc_Rej",-5.34598,1010,8,0,"AR (Acc-Rej)"
"343","Rej_Rej",0.130221,1010,9,0,"RR (Rej-Rej)"
"344","Acc_Acc",5.41675,1010,10,0,"AA (Acc-Acc)"
"345","Acc_Rej",21.1603,1010,11,0,"AR (Acc-Rej)"
"346","Acc_Acc",3.7008,1010,12,0,"AA (Acc-Acc)"
"347","Rej_Rej",13.934,1010,13,0,"RR (Rej-Rej)"
"348","Rej_Acc",28.2053,1010,14,0,"RA (Rej-Acc)"
"349","Acc_Rej",15.4869,1010,15,0,"AR (Acc-Rej)"
"350","Acc_Rej",12.5321,1010,16,0,"AR (Acc-Rej)"
"351","Acc_Acc",-6.22098,1010,17,0,"AA (Acc-Acc)"
"352","Rej_Rej",0.822427,1010,18,0,"RR (Rej-Rej)"
"353","Acc_Rej",30.281,1010,19,0,"AR (Acc-Rej)"
"354","Rej_Acc",12.8548,1010,20,0,"RA (Rej-Acc)"
"355","Rej_Acc",7.2624,1010,21,0,"RA (Rej-Acc)"
"356","Acc_Rej",-13.2378,1010,22,0,"AR (Acc-Rej)"
"357","Rej_Acc",28.3685,1010,23,0,"RA (Rej-Acc)"
"358","Rej_Rej",18.4707,1010,24,0,"RR (Rej-Rej)"
"359","Acc_Acc",21.556,1010,25,0,"AA (Acc-Acc)"
"360","Rej_Acc",27.0434,1010,26,0,"RA (Rej-Acc)"
"361","Rej_Rej",14.2587,1010,27,0,"RR (Rej-Rej)"
"362","Acc_Acc",38.7037,1010,28,0,"AA (Acc-Acc)"
"363","Rej_Rej",8.63044,1010,29,0,"RR (Rej-Rej)"
"364","Rej_Acc",31.6063,1010,30,0,"RA (Rej-Acc)"
"365","Rej_Rej",9.29482,1010,31,0,"RR (Rej-Rej)"
"366","Acc_Acc",8.50961,1010,32,0,"AA (Acc-Acc)"
"367","Rej_Rej",-23.7631,1010,33,0,"RR (Rej-Rej)"
"368","Rej_Rej",13.2502,1010,34,0,"RR (Rej-Rej)"
"369","Rej_Acc",5.00157,1010,35,0,"RA (Rej-Acc)"
"370","Rej_Acc",14.5582,1010,36,0,"RA (Rej-Acc)"
"371","Acc_Rej",6.15309,1010,37,0,"AR (Acc-Rej)"
"372","Acc_Acc",14.6994,1010,38,0,"AA (Acc-Acc)"
"373","Acc_Acc",3.35857,1010,39,0,"AA (Acc-Acc)"
