"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G17003100315023","61","6","170310315023"
"G17003100317001","27","2","170310317001"
"G17003100317002","27","2","170310317002"
"G17003100317003","29","2","170310317003"
"G17003100317004","33","3","170310317004"
"G17003100318001","25","2","170310318001"
"G17003100319001","35","3","170310319001"
"G17003100319002","28","2","170310319002"
"G17003100321001","52","5","170310321001"
"G17003100321002","27","2","170310321002"
"G17003100321003","32","3","170310321003"
"G17003100321004","44","4","170310321004"
"G17003100321005","22","2","170310321005"
"G17003100401001","18","1","170310401001"
"G17003100401002","32","3","170310401002"
"G17003100401003","14","1","170310401003"
"G17003100402011","23","2","170310402011"
"G17003100402012","27","2","170310402012"
"G17003100402013","26","2","170310402013"
"G17003100402014","22","2","170310402014"
"G17003100402021","35","3","170310402021"
"G17003100402022","54","5","170310402022"
"G17003100402023","64","6","170310402023"
"G17003100402024","43","4","170310402024"
"G17003100403001","13","1","170310403001"
"G17003100403002","44","4","170310403002"
"G17003100403003","22","2","170310403003"
"G17003100404011","16","1","170310404011"
"G17003100404012","6","1","170310404012"
"G17003100404013","28","2","170310404013"
"G17003100404014","14","1","170310404014"
"G17003100404021","17","1","170310404021"
"G17003100404022","39","3","170310404022"
"G17003100404023","17","1","170310404023"
"G17003100404024","10","1","170310404024"
"G17003100404025","34","3","170310404025"
"G17003100406001","5","1","170310406001"
"G17003100406002","13","1","170310406002"
"G17003100406003","6","1","170310406003"
"G17003100407001","34","3","170310407001"
"G17003100407002","13","1","170310407002"
"G17003100407003","20","2","170310407003"
"G17003100407004","29","2","170310407004"
"G17003100408001","23","2","170310408001"
"G17003100408002","19","2","170310408002"
"G17003100409001","9","1","170310409001"
"G17003100409002","36","3","170310409002"
"G17003100501001","26","2","170310501001"
"G17003100501002","5","1","170310501002"
"G17003100502001","11","1","170310502001"
"G17003100502002","9","1","170310502002"
"G17003100502003","8","1","170310502003"
"G17003100503001","16","1","170310503001"
"G17003100503002","5","1","170310503002"
"G17003100503003","8","1","170310503003"
"G17003100505001","4","1","170310505001"
"G17003100505002","2","1","170310505002"
"G17003100505003","6","1","170310505003"
"G17003100505004","9","1","170310505004"
"G17003100505005","6","1","170310505005"
"G17003100506001","18","1","170310506001"
"G17003100506002","6","1","170310506002"
"G17003100507001","12","1","170310507001"
"G17003100508001","5","1","170310508001"
"G17003100509001","8","1","170310509001"
